,Run,Wealth,ex_mod,ex_ratio,height,inheritance_rule,init_agents,init_poll,max_age,max_init_sugar,max_metabolism,max_vision,min_age,poll_growth_rule,width
207,231,12.285498614297985,4.111111111111111,8.0,50,True,500,2,60,5,3,10,30,True,50
208,136,12.792550660975115,3.2222222222222223,5.0,50,True,500,2,60,5,3,10,30,True,50
209,202,12.25027363098547,4.111111111111111,7.0,50,True,500,2,60,5,3,10,30,True,50
210,79,13.213091962823826,3.6666666666666665,3.0,50,True,500,2,60,5,3,10,30,True,50
211,64,12.490319685445746,1.4444444444444444,3.0,50,True,500,2,60,5,3,10,30,True,50
212,121,12.07495836031279,1.0,5.0,50,True,500,2,60,5,3,10,30,True,50
213,293,11.971518970961238,4.111111111111111,10.0,50,True,500,2,60,5,3,10,30,True,50
214,184,11.351862639391852,1.4444444444444444,7.0,50,True,500,2,60,5,3,10,30,True,50
215,178,12.459837808059415,5.0,6.0,50,True,500,2,60,5,3,10,30,True,50
216,172,12.172291449229515,4.111111111111111,6.0,50,True,500,2,60,5,3,10,30,True,50
217,283,11.711605247823927,2.7777777777777777,10.0,50,True,500,2,60,5,3,10,30,True,50
218,73,12.340205872623937,2.7777777777777777,3.0,50,True,500,2,60,5,3,10,30,True,50
219,46,12.708020834914139,3.2222222222222223,2.0,50,True,500,2,60,5,3,10,30,True,50
220,62,12.490510805605458,1.0,3.0,50,True,500,2,60,5,3,10,30,True,50
221,56,13.128107425568063,4.555555555555555,2.0,50,True,500,2,60,5,3,10,30,True,50
222,298,11.93637318006363,5.0,10.0,50,True,500,2,60,5,3,10,30,True,50
223,96,12.227757348103905,1.8888888888888888,4.0,50,True,500,2,60,5,3,10,30,True,50
224,15,12.505694975476663,3.2222222222222223,1.0,50,True,500,2,60,5,3,10,30,True,50
225,112,13.086753822014977,4.111111111111111,4.0,50,True,500,2,60,5,3,10,30,True,50
226,217,12.030936109413382,1.8888888888888888,8.0,50,True,500,2,60,5,3,10,30,True,50
227,164,12.611503808267107,2.7777777777777777,6.0,50,True,500,2,60,5,3,10,30,True,50
228,48,12.568793654780702,3.6666666666666665,2.0,50,True,500,2,60,5,3,10,30,True,50
229,20,12.948640403805443,3.6666666666666665,1.0,50,True,500,2,60,5,3,10,30,True,50
230,3,12.859817451065275,1.4444444444444444,1.0,50,True,500,2,60,5,3,10,30,True,50
231,249,11.975669051330305,2.333333333333333,9.0,50,True,500,2,60,5,3,10,30,True,50
232,24,12.837250702764734,4.555555555555555,1.0,50,True,500,2,60,5,3,10,30,True,50
233,5,12.532546003929689,1.4444444444444444,1.0,50,True,500,2,60,5,3,10,30,True,50
234,154,11.770010412132178,1.4444444444444444,6.0,50,True,500,2,60,5,3,10,30,True,50
235,241,11.659466091950115,1.0,9.0,50,True,500,2,60,5,3,10,30,True,50
236,93,12.458292712992256,1.4444444444444444,4.0,50,True,500,2,60,5,3,10,30,True,50
237,265,12.39625300560387,4.555555555555555,9.0,50,True,500,2,60,5,3,10,30,True,50
238,286,11.843369335047123,3.2222222222222223,10.0,50,True,500,2,60,5,3,10,30,True,50
239,33,12.443525052693971,1.4444444444444444,2.0,50,True,500,2,60,5,3,10,30,True,50
240,255,12.621405288394222,3.2222222222222223,9.0,50,True,500,2,60,5,3,10,30,True,50
241,88,12.75458830307963,5.0,3.0,50,True,500,2,60,5,3,10,30,True,50
242,146,12.541542155873195,4.555555555555555,5.0,50,True,500,2,60,5,3,10,30,True,50
243,134,12.63934879802914,2.7777777777777777,5.0,50,True,500,2,60,5,3,10,30,True,50
244,289,11.791767175325571,3.6666666666666665,10.0,50,True,500,2,60,5,3,10,30,True,50
245,234,12.865590069504467,4.555555555555555,8.0,50,True,500,2,60,5,3,10,30,True,50
246,53,12.927878837711562,4.111111111111111,2.0,50,True,500,2,60,5,3,10,30,True,50
247,75,12.975924765224086,3.2222222222222223,3.0,50,True,500,2,60,5,3,10,30,True,50
248,260,12.399789281307308,3.6666666666666665,9.0,50,True,500,2,60,5,3,10,30,True,50
249,10,12.843689305028166,2.333333333333333,1.0,50,True,500,2,60,5,3,10,30,True,50
250,31,12.429909722940085,1.0,2.0,50,True,500,2,60,5,3,10,30,True,50
251,248,12.191987709902278,1.8888888888888888,9.0,50,True,500,2,60,5,3,10,30,True,50
252,125,12.05017292993452,1.4444444444444444,5.0,50,True,500,2,60,5,3,10,30,True,50
253,262,12.653678478123798,4.111111111111111,9.0,50,True,500,2,60,5,3,10,30,True,50
254,42,13.059508486023075,2.7777777777777777,2.0,50,True,500,2,60,5,3,10,30,True,50
255,72,12.783930686408901,2.7777777777777777,3.0,50,True,500,2,60,5,3,10,30,True,50
256,38,12.500379572404709,1.8888888888888888,2.0,50,True,500,2,60,5,3,10,30,True,50
