,Run,Wealth,ex_ratio,height,init_agents,init_poll,max_age,max_init_sugar,max_metabolism,max_vision,min_age,width
921,105,5347.695347444774,1,50,500,2,60,5,3,10,30,50
922,34,5237.322175991353,4,50,500,1,60,5,3,10,30,50
923,449,5370.99238109502,5,50,500,5,60,5,3,10,30,50
924,101,5353.123329704069,1,50,500,2,60,5,3,10,30,50
925,492,5331.2942624338175,10,50,500,5,60,5,3,10,30,50
926,448,5415.611288137124,5,50,500,5,60,5,3,10,30,50
927,580,5347.351784040529,9,50,500,6,60,5,3,10,30,50
928,911,5316.0552932065775,2,50,500,10,60,5,3,10,30,50
929,94,5362.264854524523,10,50,500,1,60,5,3,10,30,50
930,741,5308.116865393254,5,50,500,8,60,5,3,10,30,50
931,603,5627.394101916192,1,50,500,7,60,5,3,10,30,50
932,739,5261.701528879349,4,50,500,8,60,5,3,10,30,50
933,416,5428.1448022129325,2,50,500,5,60,5,3,10,30,50
934,851,5422.179425223796,6,50,500,9,60,5,3,10,30,50
935,717,5351.444617128504,2,50,500,8,60,5,3,10,30,50
936,801,5387.598512858492,1,50,500,9,60,5,3,10,30,50
937,8,5391.14469691645,1,50,500,1,60,5,3,10,30,50
938,54,5368.396222289543,6,50,500,1,60,5,3,10,30,50
939,341,5232.882295107224,5,50,500,4,60,5,3,10,30,50
940,871,5254.346668252587,8,50,500,9,60,5,3,10,30,50
941,525,5376.7465146548,3,50,500,6,60,5,3,10,30,50
942,400,5514.736461324787,1,50,500,5,60,5,3,10,30,50
943,57,5342.593464815526,6,50,500,1,60,5,3,10,30,50
944,724,5245.413812552959,3,50,500,8,60,5,3,10,30,50
945,561,5338.487315266442,7,50,500,6,60,5,3,10,30,50
946,856,5268.722793958437,6,50,500,9,60,5,3,10,30,50
947,705,5511.409957813028,1,50,500,8,60,5,3,10,30,50
948,822,5403.71462056085,3,50,500,9,60,5,3,10,30,50
949,658,5251.047290192166,6,50,500,7,60,5,3,10,30,50
950,762,5224.287991527973,7,50,500,8,60,5,3,10,30,50
951,303,5404.461348507893,1,50,500,4,60,5,3,10,30,50
952,749,5280.854528519752,5,50,500,8,60,5,3,10,30,50
953,208,5478.2115161148495,1,50,500,3,60,5,3,10,30,50
954,780,5294.70774679863,9,50,500,8,60,5,3,10,30,50
955,227,5346.579968727394,3,50,500,3,60,5,3,10,30,50
956,153,5263.899391097884,6,50,500,2,60,5,3,10,30,50
957,256,5231.959183509738,6,50,500,3,60,5,3,10,30,50
958,556,5480.079638021314,6,50,500,6,60,5,3,10,30,50
959,971,5329.269401166381,8,50,500,10,60,5,3,10,30,50
960,139,5297.0106757871135,4,50,500,2,60,5,3,10,30,50
961,590,5415.829686543738,10,50,500,6,60,5,3,10,30,50
962,298,5473.474393256078,10,50,500,3,60,5,3,10,30,50
963,626,5300.388193011848,3,50,500,7,60,5,3,10,30,50
964,465,5314.8143306393895,7,50,500,5,60,5,3,10,30,50
965,197,5338.784162514438,10,50,500,2,60,5,3,10,30,50
966,690,5422.626017406669,10,50,500,7,60,5,3,10,30,50
967,103,5519.462352919819,1,50,500,2,60,5,3,10,30,50
968,930,5314.747675147035,4,50,500,10,60,5,3,10,30,50
969,702,5544.417545629472,1,50,500,8,60,5,3,10,30,50
970,121,5457.725944596531,3,50,500,2,60,5,3,10,30,50
971,814,5314.930425227257,2,50,500,9,60,5,3,10,30,50
972,779,5386.8464656384385,8,50,500,8,60,5,3,10,30,50
973,262,5182.999127018828,7,50,500,3,60,5,3,10,30,50
974,570,5257.487963945882,8,50,500,6,60,5,3,10,30,50
975,733,5290.068839128546,4,50,500,8,60,5,3,10,30,50
976,164,5370.6252799658705,7,50,500,2,60,5,3,10,30,50
977,902,5513.360117349906,1,50,500,10,60,5,3,10,30,50
978,497,5374.765510028743,10,50,500,5,60,5,3,10,30,50
979,873,5401.776131870202,8,50,500,9,60,5,3,10,30,50
980,848,5392.639474362689,5,50,500,9,60,5,3,10,30,50
981,38,5237.957978082564,4,50,500,1,60,5,3,10,30,50
982,966,5432.573183726845,7,50,500,10,60,5,3,10,30,50
983,463,5183.258994442567,7,50,500,5,60,5,3,10,30,50
984,678,5332.109550674506,8,50,500,7,60,5,3,10,30,50
985,387,5428.91459308283,9,50,500,4,60,5,3,10,30,50
986,364,5281.1495755516935,7,50,500,4,60,5,3,10,30,50
987,76,5243.115691419814,8,50,500,1,60,5,3,10,30,50
988,470,5344.6889786386455,8,50,500,5,60,5,3,10,30,50
989,90,5298.620704428771,10,50,500,1,60,5,3,10,30,50
990,686,5453.984678054762,9,50,500,7,60,5,3,10,30,50
991,824,5407.541225748531,3,50,500,9,60,5,3,10,30,50
992,855,5204.698863759591,6,50,500,9,60,5,3,10,30,50
993,713,5245.763905263332,2,50,500,8,60,5,3,10,30,50
994,220,5416.425138000666,3,50,500,3,60,5,3,10,30,50
995,356,5195.534662668022,6,50,500,4,60,5,3,10,30,50
996,543,5318.030915161201,5,50,500,6,60,5,3,10,30,50
997,458,5392.167043895808,6,50,500,5,60,5,3,10,30,50
998,185,5194.692918487528,9,50,500,2,60,5,3,10,30,50
999,65,5289.909763533996,7,50,500,1,60,5,3,10,30,50
