,Run,Wealth,ex_mod,ex_ratio,height,inheritance_rule,init_agents,init_poll,max_age,max_init_sugar,max_metabolism,max_vision,min_age,poll_growth_rule,width
289,64,10.599310188569394,1.4444444444444444,3.0,50,True,500,2,60,5,3,10,30,False,50
290,154,10.639469806499614,1.4444444444444444,6.0,50,True,500,2,60,5,3,10,30,False,50
291,280,10.290648624764254,2.333333333333333,10.0,50,True,500,2,60,5,3,10,30,False,50
292,115,10.937324058641977,4.555555555555555,4.0,50,True,500,2,60,5,3,10,30,False,50
293,105,10.739145156453787,3.2222222222222223,4.0,50,True,500,2,60,5,3,10,30,False,50
294,23,10.844701944444445,4.111111111111111,1.0,50,True,500,2,60,5,3,10,30,False,50
295,290,10.577878508504186,3.6666666666666665,10.0,50,True,500,2,60,5,3,10,30,False,50
296,255,10.45784163273676,3.2222222222222223,9.0,50,True,500,2,60,5,3,10,30,False,50
297,194,10.538124377021369,2.7777777777777777,7.0,50,True,500,2,60,5,3,10,30,False,50
298,263,10.578077625092597,4.111111111111111,9.0,50,True,500,2,60,5,3,10,30,False,50
299,31,10.359878828163149,1.0,2.0,50,True,500,2,60,5,3,10,30,False,50
